|     |   task_0_variant |   task_0_cpu |   task_0_gpu |   task_0_cpu_all_replicas |   task_0_gpu_all_replicas |   task_0_batch |   task_0_replicas |   task_0_latency |   task_0_throughput |   task_0_throughput_all_replicas |   task_0_measured | task_1_variant   |   task_1_cpu |   task_1_gpu |   task_1_cpu_all_replicas |   task_1_gpu_all_replicas |   task_1_batch |   task_1_replicas |   task_1_latency |   task_1_throughput |   task_1_throughput_all_replicas | task_1_measured   |   pipeline_latency |   pipeline_throughput |   pipeline_cpu |   pipeline_gpu |   pipeline_accuracy |   task_1_accuracy |
|  19 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              4 |                 2 |              0.4 |             2.5     |                          5       | True              |                0.5 |               5       |              3 |              0 |                0.25 |               0.5 |
|  20 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              |                0.3 |               5       |              3 |              0 |                0.25 |               0.5 |
|  21 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              |                0.4 |               5       |              3 |              0 |                0.25 |               0.5 |
|  22 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             |                0.5 |               5       |              3 |              0 |                0.25 |               0.5 |
|  23 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              4 |                 2 |              0.4 |             2.5     |                          5       | True              |                0.6 |               5       |              3 |              0 |                0.25 |               0.5 |
|  24 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              |                0.4 |               3.33333 |              3 |              0 |                0.25 |               0.5 |
|  25 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              |                0.5 |               3.33333 |              3 |              0 |                0.25 |               0.5 |
|  26 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             |                0.6 |               3.33333 |              3 |              0 |                0.25 |               0.5 |
|  27 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              4 |                 2 |              0.4 |             2.5     |                          5       | True              |                0.7 |               3.33333 |              3 |              0 |                0.25 |               0.5 |
|  28 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              |                0.5 |               2.5     |              3 |              0 |                0.25 |               0.5 |
|  29 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              |                0.6 |               2.5     |              3 |              0 |                0.25 |               0.5 |
|  30 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             |                0.7 |               2.5     |              3 |              0 |                0.25 |               0.5 |
|  31 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              4 |                 2 |              0.4 |             2.5     |                          5       | True              |                0.8 |               2.5     |              3 |              0 |                0.25 |               0.5 |
|  32 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              |                0.2 |              10       |              3 |              0 |                0.25 |               0.5 |
|  33 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              |                0.3 |               5       |              3 |              0 |                0.25 |               0.5 |
|  34 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         1 |                         0 |              3 |                 1 |              0.3 |             3.33333 |                          3.33333 | False             |                0.4 |               3.33333 |              3 |              0 |                0.25 |               0.5 |
|  35 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         1 |                         0 |              4 |                 1 |              0.4 |             2.5     |                          2.5     | True              |                0.5 |               2.5     |              3 |              0 |                0.25 |               0.5 |
|  36 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              |                0.3 |              10       |              3 |              0 |                0.25 |               0.5 |
|  37 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              |                0.4 |               5       |              3 |              0 |                0.25 |               0.5 |
|  38 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         1 |                         0 |              3 |                 1 |              0.3 |             3.33333 |                          3.33333 | False             |                0.5 |               3.33333 |              3 |              0 |                0.25 |               0.5 |
|  39 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         1 |                         0 |              4 |                 1 |              0.4 |             2.5     |                          2.5     | True              |                0.6 |               2.5     |              3 |              0 |                0.25 |               0.5 |
|  40 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              |                0.4 |               6.66667 |              3 |              0 |                0.25 |               0.5 |
|  41 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              |                0.5 |               5       |              3 |              0 |                0.25 |               0.5 |
|  42 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         1 |                         0 |              3 |                 1 |              0.3 |             3.33333 |                          3.33333 | False             |                0.6 |               3.33333 |              3 |              0 |                0.25 |               0.5 |
|  43 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         1 |                         0 |              4 |                 1 |              0.4 |             2.5     |                          2.5     | True              |                0.7 |               2.5     |              3 |              0 |                0.25 |               0.5 |
|  44 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              |                0.5 |               5       |              3 |              0 |                0.25 |               0.5 |
|  45 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              |                0.6 |               5       |              3 |              0 |                0.25 |               0.5 |
|  46 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         1 |                         0 |              3 |                 1 |              0.3 |             3.33333 |                          3.33333 | False             |                0.7 |               3.33333 |              3 |              0 |                0.25 |               0.5 |
|  47 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         1 |                         0 |              4 |                 1 |              0.4 |             2.5     |                          2.5     | True              |                0.8 |               2.5     |              3 |              0 |                0.25 |               0.5 |
|  48 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              |                0.2 |              20       |              4 |              0 |                0.25 |               0.5 |
|  49 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              |                0.3 |              10       |              4 |              0 |                0.25 |               0.5 |
|  50 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             |                0.4 |               6.66667 |              4 |              0 |                0.25 |               0.5 |
|  51 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              4 |                 2 |              0.4 |             2.5     |                          5       | True              |                0.5 |               5       |              4 |              0 |                0.25 |               0.5 |
|  52 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              |                0.3 |              10       |              4 |              0 |                0.25 |               0.5 |
|  53 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              |                0.4 |              10       |              4 |              0 |                0.25 |               0.5 |
|  54 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             |                0.5 |               6.66667 |              4 |              0 |                0.25 |               0.5 |
|  55 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              4 |                 2 |              0.4 |             2.5     |                          5       | True              |                0.6 |               5       |              4 |              0 |                0.25 |               0.5 |
|  56 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              |                0.4 |               6.66667 |              4 |              0 |                0.25 |               0.5 |
|  57 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              |                0.5 |               6.66667 |              4 |              0 |                0.25 |               0.5 |
|  58 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             |                0.6 |               6.66667 |              4 |              0 |                0.25 |               0.5 |
|  59 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              4 |                 2 |              0.4 |             2.5     |                          5       | True              |                0.7 |               5       |              4 |              0 |                0.25 |               0.5 |
|  60 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              |                0.5 |               5       |              4 |              0 |                0.25 |               0.5 |
|  61 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              |                0.6 |               5       |              4 |              0 |                0.25 |               0.5 |
|  62 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             |                0.7 |               5       |              4 |              0 |                0.25 |               0.5 |
|  63 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              4 |                 2 |              0.4 |             2.5     |                          5       | True              |                0.8 |               5       |              4 |              0 |                0.25 |               0.5 |
|  64 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              |                0.2 |              10       |              2 |              0 |                0.4  |               0.8 |
|  65 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              |                0.3 |               5       |              2 |              0 |                0.4  |               0.8 |
|  66 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         1 |                         0 |              3 |                 1 |              0.3 |             3.33333 |                          3.33333 | False             |                0.4 |               3.33333 |              2 |              0 |                0.4  |               0.8 |
|  67 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         1 |                         0 |              4 |                 1 |              0.4 |             2.5     |                          2.5     | True              |                0.5 |               2.5     |              2 |              0 |                0.4  |               0.8 |
|  68 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              |                0.3 |               5       |              2 |              0 |                0.4  |               0.8 |
|  69 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              |                0.4 |               5       |              2 |              0 |                0.4  |               0.8 |
|  70 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         1 |                         0 |              3 |                 1 |              0.3 |             3.33333 |                          3.33333 | False             |                0.5 |               3.33333 |              2 |              0 |                0.4  |               0.8 |
|  71 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         1 |                         0 |              4 |                 1 |              0.4 |             2.5     |                          2.5     | True              |                0.6 |               2.5     |              2 |              0 |                0.4  |               0.8 |
