|     |   task_0_variant |   task_0_cpu |   task_0_gpu |   task_0_cpu_all_replicas |   task_0_gpu_all_replicas |   task_0_batch |   task_0_replicas |   task_0_latency |   task_0_throughput |   task_0_throughput_all_replicas |   task_0_measured | task_1_variant   |   task_1_cpu |   task_1_gpu |   task_1_cpu_all_replicas |   task_1_gpu_all_replicas |   task_1_batch |   task_1_replicas |   task_1_latency |   task_1_throughput |   task_1_throughput_all_replicas | task_1_measured   |   pipeline_latency |   pipeline_throughput |   pipeline_cpu |   pipeline_gpu |   pipeline_accuracy |   task_1_accuracy |
|  72 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              |                0.4 |               3.33333 |              2 |              0 |                0.4  |               0.8 |
|  73 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              |                0.5 |               3.33333 |              2 |              0 |                0.4  |               0.8 |
|  74 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         1 |                         0 |              3 |                 1 |              0.3 |             3.33333 |                          3.33333 | False             |                0.6 |               3.33333 |              2 |              0 |                0.4  |               0.8 |
|  75 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         1 |                         0 |              4 |                 1 |              0.4 |             2.5     |                          2.5     | True              |                0.7 |               2.5     |              2 |              0 |                0.4  |               0.8 |
|  76 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              |                0.5 |               2.5     |              2 |              0 |                0.4  |               0.8 |
|  77 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              |                0.6 |               2.5     |              2 |              0 |                0.4  |               0.8 |
|  78 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         1 |                         0 |              3 |                 1 |              0.3 |             3.33333 |                          3.33333 | False             |                0.7 |               2.5     |              2 |              0 |                0.4  |               0.8 |
|  79 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         1 |                         0 |              4 |                 1 |              0.4 |             2.5     |                          2.5     | True              |                0.8 |               2.5     |              2 |              0 |                0.4  |               0.8 |
|  80 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              |                0.2 |              10       |              3 |              0 |                0.4  |               0.8 |
|  81 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              |                0.3 |              10       |              3 |              0 |                0.4  |               0.8 |
|  82 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             |                0.4 |               6.66667 |              3 |              0 |                0.4  |               0.8 |
|  83 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         2 |                         0 |              4 |                 2 |              0.4 |             2.5     |                          5       | True              |                0.5 |               5       |              3 |              0 |                0.4  |               0.8 |
|  84 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              |                0.3 |               5       |              3 |              0 |                0.4  |               0.8 |
|  85 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              |                0.4 |               5       |              3 |              0 |                0.4  |               0.8 |
|  86 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             |                0.5 |               5       |              3 |              0 |                0.4  |               0.8 |
|  87 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         2 |                         0 |              4 |                 2 |              0.4 |             2.5     |                          5       | True              |                0.6 |               5       |              3 |              0 |                0.4  |               0.8 |
|  88 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              |                0.4 |               3.33333 |              3 |              0 |                0.4  |               0.8 |
|  89 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              |                0.5 |               3.33333 |              3 |              0 |                0.4  |               0.8 |
|  90 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             |                0.6 |               3.33333 |              3 |              0 |                0.4  |               0.8 |
|  91 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         2 |                         0 |              4 |                 2 |              0.4 |             2.5     |                          5       | True              |                0.7 |               3.33333 |              3 |              0 |                0.4  |               0.8 |
|  92 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              |                0.5 |               2.5     |              3 |              0 |                0.4  |               0.8 |
