,index,model-name,model-version,batch-size,latency
308,28,resnet,5,16,2.615601062774658
309,29,resnet,5,16,2.607124090194702
310,30,resnet,5,16,2.588325023651123
311,31,resnet,5,16,2.8273282051086426
312,32,resnet,5,16,2.7472894191741943
313,33,resnet,5,16,2.6873717308044434
314,34,resnet,5,16,2.79707407951355
315,35,resnet,5,16,2.774850368499756
316,36,resnet,5,16,2.7705554962158203
317,37,resnet,5,16,2.765026807785034
318,38,resnet,5,16,2.7499194145202637
319,39,resnet,5,16,2.7322475910186768
320,40,resnet,5,16,2.745375633239746
321,41,resnet,5,16,2.7567272186279297
322,42,resnet,5,16,2.748981475830078
323,43,resnet,5,16,2.790759325027466
324,44,resnet,5,16,2.5997793674468994
325,45,resnet,5,16,2.751746892929077
326,46,resnet,5,16,2.749634265899658
327,47,resnet,5,16,2.762859582901001
328,0,resnet,6,16,2.9732918739318848
329,1,resnet,6,16,2.7851574420928955
330,2,resnet,6,16,2.7091143131256104
331,3,resnet,6,16,2.7532079219818115
332,4,resnet,6,16,2.7475426197052
333,5,resnet,6,16,2.7192046642303467
334,6,resnet,6,16,2.718501091003418
335,7,resnet,6,16,2.714966058731079
336,8,resnet,6,16,2.712362766265869
337,9,resnet,6,16,2.981065511703491
338,10,resnet,6,16,3.118819236755371
339,11,resnet,6,16,3.2848002910614014
340,12,resnet,6,16,3.1074142456054688
341,13,resnet,6,16,2.8745639324188232
342,14,resnet,6,16,2.9572696685791016
343,15,resnet,6,16,2.803689956665039
344,16,resnet,6,16,2.9545505046844482
345,17,resnet,6,16,2.910691499710083
346,18,resnet,6,16,2.927649736404419
347,19,resnet,6,16,2.9634454250335693
348,20,resnet,6,16,2.9095847606658936
349,21,resnet,6,16,2.925877571105957
350,22,resnet,6,16,2.93017840385437
351,23,resnet,6,16,2.946117877960205
352,24,resnet,6,16,3.070673704147339
353,25,resnet,6,16,3.07647442817688
354,26,resnet,6,16,3.055431365966797
355,27,resnet,6,16,2.9949584007263184
356,28,resnet,6,16,2.970329761505127
357,29,resnet,6,16,2.990915060043335
358,30,resnet,6,16,2.895596981048584
359,31,resnet,6,16,2.841515302658081
360,32,resnet,6,16,2.909972906112671
361,33,resnet,6,16,2.87817645072937
362,34,resnet,6,16,2.9516096115112305
363,35,resnet,6,16,2.916242837905884
364,36,resnet,6,16,2.9135587215423584
365,37,resnet,6,16,2.899315357208252
366,38,resnet,6,16,2.9216766357421875
367,39,resnet,6,16,2.9643607139587402
368,40,resnet,6,16,2.9207656383514404
369,41,resnet,6,16,2.9628148078918457
370,42,resnet,6,16,2.9796628952026367
371,43,resnet,6,16,2.90958833694458
372,0,xception,1,16,1.8401482105255127
373,1,xception,1,16,1.779914379119873
374,2,xception,1,16,1.7738549709320068
375,3,xception,1,16,1.7816886901855469
376,4,xception,1,16,1.7597200870513916
377,5,xception,1,16,1.820420742034912
378,6,xception,1,16,1.7551496028900146
379,7,xception,1,16,1.7735369205474854
380,8,xception,1,16,1.7657008171081543
381,9,xception,1,16,1.7635915279388428
382,10,xception,1,16,1.7758138179779053
383,11,xception,1,16,1.7936646938323975
384,12,xception,1,16,1.778566598892212
385,13,xception,1,16,1.7687957286834717
386,14,xception,1,16,1.7423994541168213
387,15,xception,1,16,1.8169872760772705
388,16,xception,1,16,1.7374987602233887
389,17,xception,1,16,1.767399549484253
390,18,xception,1,16,1.7669425010681152
391,19,xception,1,16,1.7710795402526855
392,20,xception,1,16,1.7661983966827393
393,21,xception,1,16,1.7518820762634277
394,22,xception,1,16,1.7503662109375
395,23,xception,1,16,1.7678823471069336
396,24,xception,1,16,1.7445197105407715
