,index,model-name,model-version,batch-size,latency
116,9,xception,1,64,7.085422039031982
117,10,xception,1,64,7.034189224243164
118,11,xception,1,64,6.989283323287964
119,12,xception,1,64,7.015599250793457
120,13,xception,1,64,6.912739276885986
121,14,xception,1,64,6.9916980266571045
122,15,xception,1,64,6.924476385116577
123,16,xception,1,64,6.942178010940552
124,17,xception,1,64,6.996729135513306
125,18,xception,1,64,6.974056959152222
126,19,xception,1,64,7.008243799209595
127,0,xception,2,64,7.297461748123169
128,1,xception,2,64,7.167614936828613
129,2,xception,2,64,7.129823923110962
130,3,xception,2,64,6.961345195770264
131,4,xception,2,64,7.006152868270874
132,5,xception,2,64,6.937711477279663
133,6,xception,2,64,7.075671672821045
134,7,xception,2,64,7.074974536895752
135,8,xception,2,64,7.190300226211548
136,9,xception,2,64,6.984987020492554
137,10,xception,2,64,7.093964576721191
138,11,xception,2,64,6.976569652557373
139,12,xception,2,64,6.964431047439575
140,13,xception,2,64,6.988286972045898
141,14,xception,2,64,7.045477628707886
142,15,xception,2,64,7.2588794231414795
143,16,xception,2,64,7.411022424697876
144,17,xception,2,64,7.190601825714111
145,18,xception,2,64,7.157871961593628
146,19,xception,2,64,7.140945672988892
147,0,inception,1,64,7.288575887680054
148,1,inception,1,64,7.096384763717651
149,2,inception,1,64,7.072696685791016
150,3,inception,1,64,7.046275854110718
151,4,inception,1,64,7.032820224761963
152,5,inception,1,64,7.045792579650879
153,6,inception,1,64,7.032108545303345
154,7,inception,1,64,7.0403077602386475
155,8,inception,1,64,7.035692930221558
156,9,inception,1,64,7.087774753570557
157,10,inception,1,64,7.198694944381714
158,11,inception,1,64,7.059551239013672
159,12,inception,1,64,7.045706748962402
160,13,inception,1,64,6.994817733764648
161,14,inception,1,64,7.079071044921875
162,15,inception,1,64,7.172908067703247
163,16,inception,1,64,7.0718724727630615
164,17,inception,1,64,7.086129665374756
165,18,inception,1,64,7.047246694564819
166,19,inception,1,64,7.123753547668457
167,0,inception,2,64,7.164758205413818
168,1,inception,2,64,7.154929876327515
169,2,inception,2,64,7.022956371307373
170,3,inception,2,64,7.019672155380249
171,4,inception,2,64,7.198315620422363
172,5,inception,2,64,6.981196403503418
173,6,inception,2,64,7.135196924209595
174,7,inception,2,64,7.071087121963501
175,8,inception,2,64,7.019454479217529
176,9,inception,2,64,7.147651195526123
177,10,inception,2,64,7.107959270477295
178,11,inception,2,64,7.090365886688232
179,12,inception,2,64,6.925830602645874
180,13,inception,2,64,6.975198268890381
181,14,inception,2,64,6.940181732177734
182,15,inception,2,64,6.980745315551758
