client_to_pipeline_latencies,pipeline_to_client_latencies,task_0_model_latencies,task_0_to_task_1_latencies,task_1_model_latencies
0.2785670757293701,0.008050680160522461,0.08980846405029297,0.01876068115234375,0.06725740432739258
0.28745269775390625,0.016088247299194336,0.0961756706237793,0.016645431518554688,0.0734398365020752
0.32228517532348633,0.007810831069946289,0.10158538818359375,0.026903629302978516,0.05213212966918945
0.1364729404449463,0.012516975402832031,0.0991678237915039,0.020853757858276367,0.0883934497833252
0.431473970413208,0.013091564178466797,0.09469938278198242,0.016881704330444336,0.06402802467346191
0.36719441413879395,0.010010004043579102,0.09515810012817383,0.022296428680419922,0.04708385467529297
0.5369534492492676,0.009435176849365234,0.09415507316589355,0.02228522300720215,0.05002737045288086
0.35614800453186035,0.01059103012084961,0.1016843318939209,0.027272701263427734,0.06368231773376465
0.38807034492492676,0.008448362350463867,0.08900237083435059,0.025465011596679688,0.07469725608825684
0.16953229904174805,0.01209115982055664,0.11080336570739746,0.040715694427490234,0.07253241539001465
0.47058629989624023,0.0071201324462890625,0.09394574165344238,0.018383026123046875,0.05855083465576172
0.3821699619293213,0.011616945266723633,0.09743046760559082,0.02337193489074707,0.06945228576660156
0.2717926502227783,0.008168697357177734,0.10789155960083008,0.016241073608398438,0.05223226547241211
0.26453328132629395,0.01286625862121582,0.09108471870422363,0.018085002899169922,0.05985856056213379
0.47977161407470703,0.009819746017456055,0.11323976516723633,0.022194385528564453,0.0672004222869873
0.4666430950164795,0.010471582412719727,0.1245882511138916,0.020919084548950195,0.06839227676391602
0.17749381065368652,0.010005712509155273,0.10996317863464355,0.03616499900817871,0.06419777870178223
0.45960068702697754,0.00583958625793457,0.08816933631896973,0.01949930191040039,0.06728386878967285
0.03325295448303223,0.018201828002929688,0.09999608993530273,0.03340458869934082,0.06339335441589355
0.4672818183898926,0.010532617568969727,0.0900721549987793,0.020069122314453125,0.05743670463562012
0.27901196479797363,0.007548809051513672,0.092437744140625,0.020127534866333008,0.06646609306335449
0.3713405132293701,0.008516788482666016,0.08816981315612793,0.023911476135253906,0.06310582160949707
0.5808219909667969,0.011220216751098633,0.09195113182067871,0.015707015991210938,0.062496185302734375
0.06163978576660156,0.030112266540527344,0.09400486946105957,0.035288333892822266,0.06336569786071777
0.5287234783172607,0.007200479507446289,0.0923757553100586,0.01505422592163086,0.05444049835205078
0.13274574279785156,0.010495662689208984,0.08827829360961914,0.02475261688232422,0.06667709350585938
0.4289729595184326,0.014928579330444336,0.09333515167236328,0.020333528518676758,0.06375765800476074
0.544083833694458,0.008684396743774414,0.09631609916687012,0.014850854873657227,0.052170515060424805
0.06916093826293945,0.0308077335357666,0.09621143341064453,0.043065786361694336,0.057636260986328125
0.05750608444213867,0.009051322937011719,0.11312317848205566,0.03729820251464844,0.04929685592651367
0.03291511535644531,0.01311635971069336,0.09415650367736816,0.025853872299194336,0.05606842041015625
0.05320429801940918,0.010636329650878906,0.09913778305053711,0.05217885971069336,0.09261965751647949
0.17954397201538086,0.00743556022644043,0.09978771209716797,0.022853374481201172,0.06101226806640625
0.15816020965576172,0.007574796676635742,0.10180425643920898,0.023596525192260742,0.04908418655395508
0.16164398193359375,0.008469581604003906,0.10406255722045898,0.023483991622924805,0.07162690162658691
0.1584463119506836,0.008600234985351562,0.11439800262451172,0.018269777297973633,0.05842447280883789
0.223801851272583,0.01263880729675293,0.09226393699645996,0.020642757415771484,0.0825049877166748
0.3773198127746582,0.008611679077148438,0.09929418563842773,0.027569055557250977,0.07203531265258789
0.3401474952697754,0.007657766342163086,0.09049153327941895,0.021955013275146484,0.059369564056396484
0.5464341640472412,0.009105682373046875,0.08991861343383789,0.019394636154174805,0.0532376766204834
0.5792515277862549,0.009413957595825195,0.10137677192687988,0.018790721893310547,0.04266929626464844
0.2387082576751709,0.007923603057861328,0.09244489669799805,0.022988319396972656,0.06395173072814941
0.05174612998962402,0.009143590927124023,0.10215353965759277,0.02804112434387207,0.06351590156555176
